,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_var_smoothing,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,0.0006000995635986328,0.000489979265096882,0.0,0.0,1.0,{'var_smoothing': 1.0},0.7391304347826086,0.8695652173913043,1.0,0.8636363636363636,0.8181818181818182,0.8581027667984189,0.08490574913579482,100
1,0.0010002613067626952,1.1680077279964342e-07,0.0,0.0,0.8111308307896871,{'var_smoothing': 0.8111308307896871},0.7391304347826086,0.9565217391304348,1.0,0.8636363636363636,0.8181818181818182,0.8754940711462451,0.0939015976309826,99
2,0.0004000663757324219,0.0004899792418945042,0.0006001472473144531,0.000490018183218949,0.657933224657568,{'var_smoothing': 0.657933224657568},0.7391304347826086,0.9565217391304348,1.0,0.8636363636363636,0.8636363636363636,0.8845849802371542,0.09003359143707461,98
3,0.00020003318786621094,0.0004000663757324219,0.0004000663757324219,0.000489979265096882,0.533669923120631,{'var_smoothing': 0.533669923120631},0.7391304347826086,0.9565217391304348,1.0,0.8636363636363636,0.9090909090909091,0.8936758893280633,0.0897537863338287,97
4,0.0006001472473144531,0.000490018183218949,0.0,0.0,0.43287612810830584,{'var_smoothing': 0.43287612810830584},0.7391304347826086,1.0,1.0,0.8636363636363636,0.9090909090909091,0.9023715415019762,0.09721713289892939,95
5,0.000800180435180664,0.00040009025666136835,0.00020003318786621094,0.0004000663757324219,0.3511191734215131,{'var_smoothing': 0.3511191734215131},0.7391304347826086,1.0,1.0,0.8636363636363636,0.9090909090909091,0.9023715415019762,0.09721713289892939,95
6,0.0,0.0,0.0010004043579101562,6.905089408577253e-06,0.2848035868435802,{'var_smoothing': 0.2848035868435802},0.7391304347826086,1.0,1.0,0.8636363636363636,0.9545454545454546,0.9114624505928853,0.09951843930289288,88
7,0.00020008087158203126,0.0004001617431640625,0.0,0.0,0.23101297000831597,{'var_smoothing': 0.23101297000831597},0.7391304347826086,1.0,1.0,0.8636363636363636,0.9545454545454546,0.9114624505928853,0.09951843930289288,88
8,0.0010002613067626952,1.1680077279964343e-07,0.0,0.0,0.1873817422860384,{'var_smoothing': 0.1873817422860384},0.7391304347826086,1.0,1.0,0.8636363636363636,0.9545454545454546,0.9114624505928853,0.09951843930289288,88
9,0.00020003318786621094,0.0004000663757324219,0.0008001327514648438,0.0004000663757324219,0.15199110829529336,{'var_smoothing': 0.15199110829529336},0.7391304347826086,1.0,1.0,0.8636363636363636,0.9545454545454546,0.9114624505928853,0.09951843930289288,88
10,0.00020003318786621094,0.0004000663757324219,0.00020008087158203126,0.0004001617431640626,0.12328467394420659,{'var_smoothing': 0.12328467394420659},0.7391304347826086,1.0,1.0,0.8636363636363636,0.9545454545454546,0.9114624505928853,0.09951843930289288,88
11,0.001000213623046875,2.3360154559928684e-07,0.0,0.0,0.1,{'var_smoothing': 0.1},0.7391304347826086,0.9565217391304348,1.0,0.8636363636363636,0.9545454545454546,0.9027667984189722,0.09309454205404562,93
12,0.0006001472473144531,0.000490018183218949,0.0004001140594482422,0.0004900376480808074,0.08111308307896872,{'var_smoothing': 0.08111308307896872},0.7391304347826086,0.9565217391304348,1.0,0.8636363636363636,0.9545454545454546,0.9027667984189722,0.09309454205404562,93
13,0.00020012855529785156,0.0004002571105957031,0.0007966995239257812,0.0003983760744682937,0.0657933224657568,{'var_smoothing': 0.0657933224657568},0.8260869565217391,0.9565217391304348,1.0,0.9090909090909091,0.9545454545454546,0.9292490118577075,0.059056198247019014,84
14,0.001003599166870117,7.975591479131726e-06,0.0,0.0,0.0533669923120631,{'var_smoothing': 0.0533669923120631},0.8260869565217391,0.9565217391304348,1.0,0.9090909090909091,0.9545454545454546,0.9292490118577075,0.059056198247019014,84
15,0.00020003318786621094,0.0004000663757324219,0.0,0.0,0.04328761281083057,{'var_smoothing': 0.04328761281083057},0.8260869565217391,1.0,1.0,0.9090909090909091,0.9545454545454546,0.9379446640316207,0.06530237605711742,7
16,0.0008001327514648438,0.0004001360197227019,0.0,0.0,0.03511191734215131,{'var_smoothing': 0.03511191734215131},0.8260869565217391,1.0,0.9545454545454546,0.9090909090909091,0.9545454545454546,0.9288537549407115,0.05887868880429625,86
17,0.0004001140594482422,0.0004900551866743507,0.0,0.0,0.02848035868435802,{'var_smoothing': 0.02848035868435802},0.8260869565217391,1.0,0.9545454545454546,0.9090909090909091,0.9545454545454546,0.9288537549407115,0.05887868880429625,86
18,0.001000213623046875,2.78041453115716e-07,0.0,0.0,0.02310129700083159,{'var_smoothing': 0.02310129700083159},0.8695652173913043,1.0,0.9545454545454546,0.9090909090909091,0.9545454545454546,0.9375494071146246,0.04451863423417024,8
19,0.0007988452911376953,0.00039946580350378846,0.00020008087158203126,0.0004001617431640626,0.01873817422860384,{'var_smoothing': 0.01873817422860384},0.8695652173913043,1.0,0.9545454545454546,0.9090909090909091,0.9545454545454546,0.9375494071146246,0.04451863423417024,8
20,0.0,0.0,0.000998544692993164,7.311952273074654e-06,0.01519911082952933,{'var_smoothing': 0.01519911082952933},0.8695652173913043,1.0,0.9545454545454546,0.9090909090909091,0.9545454545454546,0.9375494071146246,0.04451863423417024,8
21,0.0006001949310302735,0.0004900572096040241,0.0,0.0,0.012328467394420659,{'var_smoothing': 0.012328467394420659},0.8695652173913043,1.0,0.9545454545454546,1.0,0.9545454545454546,0.9557312252964426,0.04763788796822294,1
